timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,43,-54,207,-20,15,-6
5,43,-54,210,-29,15,-6
10,40,-52,213,-38,17,-6
15,41,-49,204,-48,18,-6
20,44,-54,207,-57,20,-5
25,47,-48,207,-65,22,-4
30,39,-52,208,-71,23,-5
35,38,-52,208,-81,25,-4
40,41,-56,210,-87,28,-5
45,38,-51,208,-92,28,-5
50,44,-54,204,-96,30,-6
55,40,-52,209,-102,32,-6
60,39,-55,204,-104,33,-5
65,39,-53,206,-106,34,-5
70,43,-54,205,-108,35,-6
75,38,-61,211,-111,36,-6
80,42,-54,205,-113,38,-6
85,40,-56,203,-114,40,-5
90,40,-56,207,-115,41,-4
95,40,-54,210,-115,43,-5
100,42,-54,206,-118,44,-4
105,41,-55,206,-119,44,-4
110,41,-58,206,-121,45,-4
115,41,-53,205,-123,46,-3
120,41,-57,204,-123,48,-4
125,43,-57,205,-123,46,-2
130,43,-50,196,-125,46,-2
135,41,-57,205,-125,45,-1
140,38,-54,204,-127,44,-1
145,41,-57,203,-126,44,0
150,38,-56,204,-127,43,-1
155,41,-57,203,-125,44,0
160,38,-59,202,-124,44,-2
165,36,-58,203,-122,44,-2
170,41,-57,203,-123,45,-2
175,39,-58,204,-120,45,-2
180,42,-62,201,-119,46,-3
185,38,-59,196,-120,45,-2
190,39,-59,204,-118,44,-3
195,39,-60,202,-117,43,-4
200,37,-58,205,-118,42,-4
205,38,-58,202,-118,40,-4
210,40,-57,202,-119,38,-4
215,40,-60,203,-121,38,-3
220,37,-57,208,-125,38,-3
225,38,-60,201,-127,39,-3
230,39,-57,204,-129,39,-3
235,37,-62,202,-131,40,-2
240,39,-59,210,-132,40,0
245,38,-61,202,-132,39,1
250,37,-59,205,-132,42,1
255,38,-58,205,-134,40,3
260,40,-61,201,-135,40,2
265,38,-61,207,-138,41,2
270,36,-61,207,-138,42,3
275,39,-62,202,-139,45,1
280,38,-60,200,-136,48,1
285,35,-60,205,-132,49,1
290,37,-61,199,-126,48,-1
295,38,-58,202,-116,47,-2
300,34,-61,205,-107,42,-4
305,37,-63,203,-98,37,-6
310,37,-62,207,-89,30,-7
315,37,-62,197,-81,24,-9
320,35,-65,201,-75,19,-11
325,37,-63,203,-66,14,-13
330,37,-57,206,-59,14,-15
335,35,-65,198,-55,14,-17
340,38,-62,199,-53,15,-18
345,34,-63,198,-54,16,-18
350,37,-57,207,-57,18,-18
355,38,-62,202,-65,21,-17
360,37,-62,202,-72,22,-15
365,37,-62,201,-80,24,-12
370,35,-62,206,-92,25,-11
375,38,-62,199,-102,26,-9
380,36,-62,200,-112,28,-7
385,38,-61,202,-121,31,-5
390,39,-62,202,-126,34,-2
395,40,-61,203,-132,37,0
400,39,-63,203,-133,41,3
405,39,-64,204,-134,43,4
