timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,-7,-253,-62,20,190,32
5,-7,-249,-59,19,189,30
10,-8,-249,-59,20,188,29
15,-11,-252,-60,23,186,25
20,-10,-251,-57,31,186,23
25,-11,-254,-61,39,182,19
30,-12,-251,-59,48,178,19
35,-11,-254,-53,53,174,19
40,-14,-253,-57,59,171,18
45,-12,-251,-55,62,169,17
50,-14,-256,-56,64,166,16
55,-13,-254,-54,65,162,16
60,-16,-254,-57,63,159,18
65,-16,-253,-54,58,157,19
70,-18,-253,-58,53,155,20
75,-13,-244,-62,46,151,22
80,-17,-248,-61,40,150,24
85,-12,-251,-56,33,148,27
90,-14,-247,-63,27,146,28
95,-12,-246,-56,19,146,30
100,-12,-246,-56,14,144,30
105,-11,-246,-58,10,144,28
110,-8,-247,-59,5,146,26
115,-7,-248,-57,1,148,25
120,-8,-247,-55,-4,149,22
125,-5,-245,-60,-11,151,19
130,-3,-248,-61,-19,154,19
135,-5,-248,-63,-28,158,17
140,-3,-249,-64,-37,165,19
145,0,-248,-62,-47,173,18
150,0,-250,-62,-56,183,19
155,0,-250,-62,-64,191,19
160,-1,-248,-58,-72,198,19
165,1,-250,-57,-80,204,18
170,-1,-247,-53,-87,205,18
175,-2,-250,-52,-93,204,15
180,0,-247,-56,-98,204,12
185,2,-245,-50,-105,205,7
190,-3,-249,-51,-109,206,3
195,-7,-249,-48,-111,205,0
200,-9,-254,-49,-109,208,1
205,-4,-257,-49,-104,211,-2
210,-7,-256,-48,-97,214,-7
215,-8,-257,-50,-85,215,-9
220,-10,-264,-50,-73,216,-11
225,-9,-266,-51,-64,214,-8
230,-11,-263,-47,-52,210,-11
235,-3,-267,-44,-37,205,-15
240,-2,-268,-48,-15,198,-20
245,-3,-267,-46,11,191,-23
250,-5,-268,-48,37,186,-25
255,-7,-270,-49,57,183,-21
260,-7,-267,-57,69,183,-14
265,-3,-265,-59,74,186,-9
270,0,-262,-64,72,195,-3
275,1,-257,-67,64,206,0
280,2,-255,-66,51,214,4
285,2,-249,-63,38,226,8
290,3,-246,-61,26,236,11
295,0,-244,-54,13,246,16
300,4,-243,-60,-2,253,20
305,3,-240,-57,-15,257,25
310,0,-239,-57,-23,256,27
315,2,-240,-60,-30,257,29
320,0,-241,-57,-36,259,31
325,-4,-243,-58,-47,261,33
330,-6,-244,-56,-58,261,36
335,-5,-245,-56,-69,262,37
340,-8,-245,-56,-76,265,37
345,-11,-249,-53,-81,268,41
350,-12,-249,-51,-86,263,47
355,-10,-252,-50,-89,257,51
360,-11,-251,-51,-92,250,53
365,-7,-253,-50,-96,246,55
370,-9,-251,-51,-98,239,61
375,-6,-250,-48,-98,231,66
380,-9,-250,-49,-101,226,71
385,-7,-252,-51,-102,223,74
390,-7,-253,-51,-103,218,80
395,0,-254,-53,-103,219,87
400,1,-257,-53,-100,225,93
405,0,-254,-55,-95,232,100
410,-1,-254,-56,-91,236,104
415,1,-254,-58,-85,235,108
420,-2,-253,-56,-79,232,113
425,0,-252,-55,-74,227,113
430,0,-251,-51,-69,220,113
435,4,-250,-53,-59,213,110
440,24,-251,-38,-37,212,93
445,16,-248,-42,15,208,47
450,-2,-246,-50,67,203,18
455,-15,-244,-56,91,189,26
460,-11,-246,-60,93,165,43
465,-6,-250,-58,85,160,47
