timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,-16,-249,-42,-1,41,-1
5,-10,-253,-42,-1,41,-1
10,-13,-252,-42,1,42,-1
15,-15,-253,-41,3,43,-3
20,-14,-251,-39,6,41,-5
25,-13,-250,-39,7,41,-5
30,-11,-253,-42,4,41,-5
35,-13,-252,-38,1,42,-6
40,-16,-252,-39,-3,44,-4
45,-15,-254,-39,-7,47,-3
50,-14,-254,-37,-9,49,-3
55,-13,-256,-40,-11,53,-1
60,-15,-255,-39,-11,53,0
65,-12,-253,-39,-11,54,0
70,-12,-251,-38,-13,55,2
75,-17,-251,-39,-16,55,4
80,-10,-252,-35,-18,53,4
85,-13,-253,-41,-21,52,6
90,-13,-251,-37,-25,51,5
95,-16,-250,-41,-27,51,6
100,-11,-254,-38,-30,52,6
105,-15,-251,-37,-33,54,7
110,-14,-250,-36,-35,57,7
115,-15,-255,-39,-36,58,9
120,-13,-254,-40,-34,60,9
125,-14,-254,-40,-34,63,9
130,-8,-253,-44,-35,65,10
135,-14,-252,-37,-35,66,11
140,-16,-254,-38,-37,66,12
145,-14,-254,-39,-41,68,12
150,-13,-253,-40,-45,66,12
155,-13,-254,-36,-48,63,10
160,-15,-252,-38,-52,60,9
165,-12,-251,-40,-54,56,9
170,-11,-253,-39,-55,53,9
175,-14,-250,-42,-53,52,7
180,-14,-252,-42,-49,51,7
185,-12,-252,-40,-46,52,7
190,-10,-254,-44,-42,55,8
195,-14,-254,-42,-43,57,6
200,-13,-254,-43,-44,59,6
205,-13,-258,-42,-48,61,8
210,-16,-255,-43,-53,62,7
215,-13,-256,-42,-57,61,7
220,-16,-254,-46,-61,59,7
225,-16,-251,-44,-63,57,8
230,-14,-257,-41,-64,55,7
235,-15,-254,-46,-62,54,9
240,-10,-261,-46,-59,53,8
245,-15,-254,-39,-55,52,9
250,-15,-252,-44,-53,51,9
255,-14,-252,-41,-52,51,7
260,-15,-252,-43,-53,50,5
265,-14,-249,-37,-55,46,2
270,-17,-250,-44,-61,43,3
