timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,31,-217,-79,69,197,-48
5,27,-213,-79,75,183,-47
10,24,-216,-77,89,165,-45
15,21,-215,-73,109,143,-42
20,18,-211,-71,131,116,-41
25,18,-220,-61,156,86,-37
30,12,-215,-62,186,57,-31
35,10,-211,-58,221,28,-27
40,7,-216,-54,261,-1,-23
45,4,-216,-52,305,-26,-18
50,1,-221,-45,350,-49,-11
55,0,-213,-47,395,-78,-8
60,0,-215,-45,433,-112,-4
65,-1,-213,-39,463,-151,-2
70,-6,-213,-37,487,-196,4
75,-11,-215,-33,509,-237,9
80,-12,-218,-40,525,-274,12
85,-10,-222,-34,539,-302,18
90,-11,-227,-37,552,-318,24
95,-11,-225,-37,560,-325,33
100,-7,-227,-41,572,-325,43
105,1,-230,-49,581,-318,50
110,6,-229,-51,589,-298,60
115,17,-232,-54,596,-263,67
120,31,-234,-57,600,-211,73
125,40,-232,-62,605,-148,74
130,43,-234,-61,606,-81,76
135,56,-232,-62,602,-23,74
140,61,-238,-64,593,14,68
145,66,-237,-65,577,26,55
150,69,-245,-67,558,15,38
155,69,-250,-76,527,-9,17
160,70,-254,-83,482,-36,-10
165,66,-263,-98,418,-59,-40
170,65,-270,-110,326,-67,-70
175,71,-286,-120,228,-63,-97
180,75,-301,-129,137,-39,-133
185,69,-312,-130,71,14,-173
190,68,-319,-159,31,95,-222
195,59,-322,-171,16,173,-278
200,48,-319,-172,26,230,-331
205,37,-321,-170,63,263,-376
210,32,-322,-149,118,281,-403
215,30,-328,-117,220,301,-416
220,30,-323,-95,363,306,-417
225,23,-317,-82,509,288,-408
230,15,-301,-87,627,235,-392
235,8,-288,-87,704,147,-361
240,1,-266,-102,747,45,-319
245,0,-249,-114,762,-63,-278
250,-8,-227,-126,753,-173,-245
255,-15,-212,-138,718,-290,-215
260,-23,-199,-147,658,-419,-186
265,-20,-188,-161,575,-548,-159
270,-24,-187,-165,468,-665,-136
275,-27,-181,-175,352,-758,-123
280,-25,-174,-175,236,-821,-117
285,-27,-176,-180,124,-854,-112
290,-30,-175,-184,24,-868,-119
295,-27,-179,-175,-70,-866,-141
300,-28,-181,-172,-154,-852,-171
305,-22,-187,-165,-222,-833,-206
310,-16,-186,-158,-273,-807,-240
315,-9,-189,-146,-303,-776,-267
320,0,-192,-140,-313,-741,-285
325,9,-193,-131,-306,-700,-285
330,19,-195,-133,-281,-656,-278
335,30,-198,-129,-250,-609,-264
340,36,-199,-133,-208,-567,-240
345,42,-203,-127,-157,-534,-209
350,43,-207,-129,-101,-516,-178
355,43,-212,-128,-45,-511,-143
360,43,-221,-125,8,-509,-111
365,42,-224,-125,62,-506,-77
370,41,-231,-125,112,-507,-44
375,40,-232,-128,151,-512,-14
380,37,-233,-130,175,-518,14
385,35,-229,-133,185,-525,40
390,32,-235,-130,190,-528,61
395,28,-231,-135,186,-526,85
400,34,-227,-133,170,-513,112
405,24,-223,-138,148,-492,139
410,22,-221,-136,123,-464,161
415,13,-216,-133,101,-432,178
420,16,-216,-131,83,-395,190
425,16,-213,-126,62,-363,196
430,15,-211,-121,36,-332,198
435,10,-206,-116,3,-303,195
440,14,-205,-108,-28,-278,191
445,14,-201,-100,-55,-258,180
450,13,-195,-97,-83,-236,171
455,9,-201,-103,-112,-216,166
460,10,-196,-98,-139,-198,160
465,12,-195,-97,-165,-182,149
470,10,-197,-99,-182,-169,140
475,9,-195,-91,-191,-159,132
480,2,-198,-92,-189,-154,126
485,-1,-193,-93,-179,-153,118
490,-4,-194,-95,-168,-152,112
495,-4,-194,-97,-156,-153,106
500,-9,-194,-96,-150,-154,102
505,-11,-193,-96,-148,-156,93
510,-12,-196,-96,-162,-161,85
515,-14,-195,-92,-175,-170,76
520,-15,-195,-88,-185,-180,69
525,-15,-197,-88,-203,-192,65
530,-15,-205,-89,-226,-202,57
535,-18,-203,-89,-251,-211,53
540,-14,-208,-90,-276,-216,46
545,-16,-211,-91,-304,-218,42
550,-11,-217,-94,-324,-216,37
555,-12,-217,-92,-342,-213,34
560,-13,-220,-92,-357,-209,27
565,-12,-222,-81,-364,-206,22
570,-8,-225,-89,-365,-200,16
575,-6,-226,-86,-357,-194,10
580,0,-228,-81,-342,-185,4
585,0,-226,-79,-318,-177,-3
590,1,-226,-76,-293,-167,-9
595,5,-226,-77,-269,-152,-16
600,8,-223,-75,-247,-141,-23
605,12,-220,-74,-229,-125,-31
610,9,-216,-73,-215,-110,-37
615,16,-216,-75,-202,-93,-45
620,9,-211,-77,-203,-77,-53
625,17,-209,-76,-207,-60,-61
630,18,-214,-71,-212,-43,-72
635,19,-214,-67,-214,-26,-81
640,21,-211,-67,-211,-12,-90
645,20,-218,-66,-207,4,-98
650,24,-217,-66,-193,18,-107
655,25,-221,-64,-171,32,-117
660,26,-222,-61,-143,47,-121
665,28,-223,-58,-108,66,-122
670,33,-228,-55,-69,87,-120
675,34,-239,-47,-30,110,-114
680,34,-238,-55,8,133,-107
685,33,-239,-49,47,153,-100
690,35,-243,-47,86,169,-88
695,34,-247,-45,123,181,-80
700,34,-250,-38,162,189,-72
705,27,-253,-39,204,195,-65
710,25,-253,-39,251,187,-55
715,18,-251,-42,301,165,-50
720,10,-251,-44,347,133,-43
725,3,-248,-49,397,102,-30
730,-3,-245,-48,443,79,-16
735,-6,-245,-46,476,73,-2
740,-8,-239,-53,498,86,11
745,-10,-243,-49,510,121,19
750,-12,-240,-45,511,172,24
755,-8,-241,-47,511,227,21
760,0,-247,-54,505,284,11
765,3,-247,-67,482,331,-3
770,-1,-245,-83,430,367,-18
775,-2,-253,-104,351,377,-25
780,-12,-262,-132,249,358,-19
785,-12,-275,-137,141,308,-2
790,-16,-288,-152,53,224,28
795,-21,-301,-164,-3,109,67
800,-20,-308,-174,-23,-31,120
805,-17,-311,-180,-38,-181,194
810,-21,-309,-176,-53,-305,280
815,-27,-309,-165,-78,-383,371
820,-26,-317,-154,-116,-422,456
825,-18,-320,-142,-164,-431,515
830,-22,-317,-146,-200,-414,542
835,-22,-318,-148,-209,-372,545
840,-25,-313,-158,-188,-309,528
845,-23,-296,-179,-142,-229,496
850,-21,-269,-193,-79,-133,446
855,-15,-245,-207,-12,-28,386
860,-7,-228,-217,50,85,324
865,0,-203,-223,98,197,270
870,7,-184,-216,126,303,226
875,23,-174,-198,141,389,185
880,27,-166,-184,141,453,146
885,32,-167,-175,129,497,116
890,37,-168,-164,103,517,93
895,28,-166,-155,62,506,84
900,25,-165,-151,1,459,83
905,21,-161,-153,-74,384,93
910,19,-167,-151,-153,297,99
915,20,-173,-148,-223,218,102
920,16,-184,-139,-273,157,96
925,7,-196,-131,-300,121,81
930,1,-210,-129,-301,95,67
935,0,-217,-126,-281,76,48
940,-2,-223,-131,-245,60,29
945,1,-230,-135,-195,53,0
950,0,-238,-130,-137,55,-35
955,1,-236,-132,-76,66,-75
960,0,-239,-132,-20,78,-122
965,2,-239,-137,24,94,-173
970,5,-237,-138,56,111,-222
975,10,-235,-142,67,130,-268
980,12,-231,-147,60,150,-308
985,19,-226,-141,43,173,-340
990,20,-226,-142,18,196,-362
995,23,-220,-141,-4,218,-375
1000,21,-216,-135,-25,234,-377
1005,21,-214,-132,-46,236,-375
1010,19,-205,-126,-68,228,-372
1015,22,-206,-120,-91,209,-370
1020,21,-200,-113,-121,187,-365
1025,17,-196,-105,-149,163,-359
1030,19,-189,-100,-171,138,-355
1035,15,-186,-92,-190,114,-352
1040,15,-184,-84,-194,90,-348
1045,14,-177,-85,-183,66,-341
1050,13,-174,-80,-163,41,-338
1055,11,-169,-77,-135,17,-335
1060,15,-164,-79,-109,-6,-331
1065,13,-155,-75,-81,-28,-322
1070,13,-151,-80,-54,-47,-313
1075,8,-145,-75,-31,-64,-300
1080,18,-147,-80,-14,-76,-284
1085,15,-143,-77,-6,-82,-268
1090,19,-146,-76,-7,-85,-251
1095,24,-143,-79,-16,-86,-233
1100,24,-147,-74,-28,-89,-221
1105,30,-157,-73,-43,-91,-207
1110,32,-157,-77,-60,-91,-199
1115,36,-166,-77,-82,-90,-190
1120,30,-169,-78,-110,-90,-180
1125,31,-178,-79,-136,-88,-172
1130,27,-185,-78,-159,-86,-164
1135,24,-192,-80,-179,-86,-160
1140,23,-200,-76,-191,-91,-153
1145,21,-208,-78,-200,-102,-145
1150,20,-210,-77,-207,-115,-135
1155,18,-219,-70,-208,-131,-122
1160,26,-222,-73,-192,-147,-111
1165,16,-231,-68,-165,-164,-98
1170,15,-239,-64,-125,-183,-92
1175,18,-246,-57,-70,-200,-92
1180,15,-255,-50,-2,-217,-100
1185,21,-258,-46,78,-236,-113
1190,20,-261,-46,161,-246,-129
1195,16,-268,-43,237,-239,-149
1200,16,-270,-41,318,-227,-171
1205,19,-270,-48,408,-212,-187
1210,20,-260,-43,501,-199,-190
1215,22,-259,-53,592,-184,-179
1220,29,-255,-53,673,-153,-163
1225,38,-252,-56,738,-106,-142
1230,38,-251,-57,778,-48,-123
1235,40,-250,-57,787,10,-105
1240,39,-247,-53,765,59,-91
1245,38,-244,-51,718,94,-76
1250,46,-243,-48,661,118,-59
1255,55,-244,-49,602,149,-39
1260,66,-244,-43,547,191,-20
1265,76,-243,-46,497,243,-4
1270,72,-243,-50,453,290,4
1275,81,-236,-42,420,314,2
1280,74,-242,-33,394,302,-12
1285,67,-245,-25,371,260,-36
1290,53,-252,-19,347,193,-59
1295,43,-260,-25,314,122,-76
1300,33,-266,-38,267,63,-90
1305,28,-274,-69,192,18,-108
1310,25,-276,-103,73,-18,-128
1315,19,-282,-155,-97,-35,-159
1320,20,-295,-219,-302,-17,-195
1325,20,-311,-255,-499,46,-239
1330,31,-331,-271,-625,148,-295
1335,40,-339,-274,-638,263,-339
1340,47,-344,-256,-544,364,-382
1345,54,-345,-229,-383,426,-413
1350,60,-342,-201,-191,463,-416
1355,64,-333,-189,-18,493,-384
1360,63,-326,-179,119,511,-345
1365,65,-308,-184,236,499,-304
1370,56,-288,-184,348,445,-263
1375,47,-267,-192,450,350,-227
1380,38,-251,-199,515,227,-196
1385,33,-244,-201,531,87,-184
1390,8,-238,-190,500,-68,-181
1395,-13,-237,-179,439,-215,-180
1400,-35,-239,-187,365,-324,-175
1405,-52,-237,-192,296,-404,-177
1410,-57,-232,-200,248,-468,-192
1415,-51,-229,-213,223,-502,-207
1420,-47,-220,-209,216,-495,-218
1425,-44,-213,-201,227,-458,-223
1430,-35,-207,-189,246,-409,-221
1435,-30,-202,-177,266,-359,-214
1440,-17,-199,-162,280,-318,-210
1445,-5,-198,-148,285,-289,-217
1450,1,-199,-137,277,-269,-233
1455,13,-205,-119,262,-255,-248
1460,28,-208,-117,255,-247,-252
1465,37,-208,-118,261,-243,-241
1470,50,-212,-116,279,-245,-220
1475,54,-213,-126,304,-249,-186
1480,62,-209,-127,329,-264,-137
1485,58,-196,-128,333,-287,-75
1490,57,-203,-133,311,-321,-6
1495,55,-203,-132,263,-357,66
1500,49,-202,-133,194,-391,141
1505,45,-205,-129,116,-414,212
1510,42,-209,-126,43,-420,279
1515,39,-210,-120,-21,-408,337
1520,32,-209,-117,-79,-385,384
1525,25,-204,-116,-128,-358,420
1530,17,-201,-110,-171,-330,443
1535,20,-202,-105,-202,-305,454
1540,16,-196,-101,-216,-285,457
1545,14,-190,-99,-220,-262,452
1550,15,-181,-94,-216,-236,444
1555,11,-171,-92,-202,-207,430
1560,11,-163,-87,-172,-176,413
1565,15,-153,-84,-131,-142,390
1570,10,-144,-78,-74,-111,362
1575,10,-135,-73,-8,-84,331
1580,6,-130,-77,62,-59,299
1585,4,-125,-72,109,-35,264
1590,-1,-119,-73,135,-10,230
1595,-4,-117,-80,145,13,200
1600,-6,-118,-78,145,34,174
1605,-9,-120,-74,131,55,149
1610,-10,-127,-74,113,69,125
1615,-17,-131,-77,86,76,103
1620,-21,-138,-72,57,79,83
1625,-25,-144,-78,32,75,62
1630,-30,-153,-78,12,63,43
1635,-27,-158,-79,-6,48,26
